Version date,22-9-2025,Revision nr,13,,,,,,,,,,,,,,
Simulation module,System,Pos,Sub,Component name,technical name,Type,Brand,Remarks,Material / description,"Voltage, capacity, power",Variable type,Variable,Included in simulation,Units,Modelica name,MQTT topic,MQTT key
,Fahrenheit,50001047,01,Mixing valve DN 40,valve-mix-chiller-waste-cooling,R538+NR24A-MOD + EXT-OC-ZR540,Belimo,,,,,Absolute position,#N/A,degrees,valve_mix_chiller_waste_cooling__position_abs__degrees,thrs/valve-mix-chiller-waste-cooling,position-abs
,Fahrenheit,50001058,01,Flowsensor,flow-seapump-cooling,SM7120,IFM,Via IO-Link,,,,Velocity,#N/A,m/s,flow_seapump_cooling__velocity__m_s,thrs/flow-seapump-cooling,velocity
,Fahrenheit,50001058,01,Flowsensor,flow-seapump-cooling,SM7120,IFM,Via IO-Link,,,,Flow,#N/A,l/min,flow_seapump_cooling__flow__l_min,thrs/flow-seapump-cooling,flow
,Fahrenheit,50001058,01,Flowsensor,flow-seapump-cooling,SM7120,IFM,Via IO-Link,,,,Direction,#N/A,,flow_seapump_cooling__direction,thrs/flow-seapump-cooling,direction
,Fahrenheit,50001058,01,Flowsensor,flow-seapump-cooling,SM7120,IFM,Via IO-Link,,,,Quantity,#N/A,l,flow_seapump_cooling__quantity__l,thrs/flow-seapump-cooling,quantity
,Fahrenheit,50001058,01,Flowsensor,flow-seapump-cooling,SM7120,IFM,Via IO-Link,,,,Temperature,#N/A,°C,flow_seapump_cooling__temperature__C,thrs/flow-seapump-cooling,temperature
,Fahrenheit,50001058,02,Flowsensor,flow-chiller-hot-out,SM7120,IFM,Via IO-Link,,,,Velocity,#N/A,m/s,flow_chiller_hot_out__velocity__m_s,thrs/flow-chiller-hot-out,velocity
,Fahrenheit,50001058,02,Flowsensor,flow-chiller-hot-out,SM7120,IFM,Via IO-Link,,,,Flow,#N/A,l/min,flow_chiller_hot_out__flow__l_min,thrs/flow-chiller-hot-out,flow
,Fahrenheit,50001058,02,Flowsensor,flow-chiller-hot-out,SM7120,IFM,Via IO-Link,,,,Direction,#N/A,,flow_chiller_hot_out__direction,thrs/flow-chiller-hot-out,direction
,Fahrenheit,50001058,02,Flowsensor,flow-chiller-hot-out,SM7120,IFM,Via IO-Link,,,,Quantity,#N/A,l,flow_chiller_hot_out__quantity__l,thrs/flow-chiller-hot-out,quantity
,Fahrenheit,50001058,02,Flowsensor,flow-chiller-hot-out,SM7120,IFM,Via IO-Link,,,,Temperature,#N/A,°C,flow_chiller_hot_out__temperature__C,thrs/flow-chiller-hot-out,temperature
,Fahrenheit,50001058,05,Flowsensor,flow-chiller-cold,SM7120,IFM,Via IO-Link,,,,Velocity,#N/A,m/s,flow_chiller_cold__velocity__m_s,thrs/flow-chiller-cold,velocity
,Fahrenheit,50001058,05,Flowsensor,flow-chiller-cold,SM7120,IFM,Via IO-Link,,,,Flow,#N/A,l/min,flow_chiller_cold__flow__l_min,thrs/flow-chiller-cold,flow
,Fahrenheit,50001058,05,Flowsensor,flow-chiller-cold,SM7120,IFM,Via IO-Link,,,,Direction,#N/A,,flow_chiller_cold__direction,thrs/flow-chiller-cold,direction
,Fahrenheit,50001058,05,Flowsensor,flow-chiller-cold,SM7120,IFM,Via IO-Link,,,,Quantity,#N/A,l,flow_chiller_cold__quantity__l,thrs/flow-chiller-cold,quantity
,Fahrenheit,50001058,05,Flowsensor,flow-chiller-cold,SM7120,IFM,Via IO-Link,,,,Temperature,#N/A,°C,flow_chiller_cold__temperature__C,thrs/flow-chiller-cold,temperature
Fahrenheit,Fahrenheit,50001058,09,Flowsensor,flow-chiller-hot-in,SM7120,IFM,Via IO-Link,,,Output,Velocity,no,m/s,flow_chiller_hot_in__velocity__m_s,thrs/flow-chiller-hot-in,velocity
Consumers,High temp,,,Boosting supply,consumers-boosting-supply,,,,,,Simulation input,Temperature,yes,°C,consumers_boosting_supply__temperature__C,thrs/consumers-boosting-supply,temperature
Fahrenheit,Fahrenheit,50001058,09,Flowsensor,flow-chiller-hot-in,SM7120,IFM,Via IO-Link,,,Output,Direction,no,,flow_chiller_hot_in__direction,thrs/flow-chiller-hot-in,direction
Fahrenheit,Fahrenheit,50001058,09,Flowsensor,flow-chiller-hot-in,SM7120,IFM,Via IO-Link,,,Output,Quantity,no,l,flow_chiller_hot_in__quantity__l,thrs/flow-chiller-hot-in,quantity
Consumers,High temp,,,Boosting supply,consumers-boosting-supply,,,,,,Simulation input,Flow,yes,l/min,consumers_boosting_supply__flow__l_min,thrs/consumers-boosting-supply,flow
,Fahrenheit,50001058,10,Flowsensor,flow-chiller-waste-to-fresh,SM7120,IFM,Via IO-Link,,,,Velocity,#N/A,m/s,flow_chiller_waste_to_fresh__velocity__m_s,thrs/flow-chiller-waste-to-fresh,velocity
,Fahrenheit,50001058,10,Flowsensor,flow-chiller-waste-to-fresh,SM7120,IFM,Via IO-Link,,,,Flow,#N/A,l/min,flow_chiller_waste_to_fresh__flow__l_min,thrs/flow-chiller-waste-to-fresh,flow
,Fahrenheit,50001058,10,Flowsensor,flow-chiller-waste-to-fresh,SM7120,IFM,Via IO-Link,,,,Direction,#N/A,,flow_chiller_waste_to_fresh__direction,thrs/flow-chiller-waste-to-fresh,direction
,Fahrenheit,50001058,10,Flowsensor,flow-chiller-waste-to-fresh,SM7120,IFM,Via IO-Link,,,,Quantity,#N/A,l,flow_chiller_waste_to_fresh__quantity__l,thrs/flow-chiller-waste-to-fresh,quantity
,Fahrenheit,50001058,10,Flowsensor,flow-chiller-waste-to-fresh,SM7120,IFM,Via IO-Link,,,,Temperature,#N/A,°C,flow_chiller_waste_to_fresh__temperature__C,thrs/flow-chiller-waste-to-fresh,temperature
,Fahrenheit,50001059,,Flowsensor,flow-chiller-waste-out,SM8120,IFM,Via IO-Link,"0,2-150 l/min, I/O link, 4-20mA,",18-30 vdc,,Velocity,#N/A,m/s,flow_chiller_waste_out__velocity__m_s,thrs/flow-chiller-waste-out,velocity
,Fahrenheit,50001059,,Flowsensor,flow-chiller-waste-out,SM8120,IFM,Via IO-Link,"0,2-150 l/min, I/O link, 4-20mA,",18-30 vdc,,Flow,#N/A,l/min,flow_chiller_waste_out__flow__l_min,thrs/flow-chiller-waste-out,flow
,Fahrenheit,50001059,,Flowsensor,flow-chiller-waste-out,SM8120,IFM,Via IO-Link,"0,2-150 l/min, I/O link, 4-20mA,",18-30 vdc,,Direction,#N/A,,flow_chiller_waste_out__direction,thrs/flow-chiller-waste-out,direction
,Fahrenheit,50001059,,Flowsensor,flow-chiller-waste-out,SM8120,IFM,Via IO-Link,"0,2-150 l/min, I/O link, 4-20mA,",18-30 vdc,,Quantity,#N/A,l,flow_chiller_waste_out__quantity__l,thrs/flow-chiller-waste-out,quantity
,Fahrenheit,50001059,,Flowsensor,flow-chiller-waste-out,SM8120,IFM,Via IO-Link,"0,2-150 l/min, I/O link, 4-20mA,",18-30 vdc,,Temperature,#N/A,°C,flow_chiller_waste_out__temperature__C,thrs/flow-chiller-waste-out,temperature
Consumers,High temp,,,Fahrenheit return,consumers-fahrenheit-return,,,,,,Simulation output,Temperature,yes,°C,consumers_fahrenheit_return__temperature__C,thrs/consumers-fahrenheit-return,temperature
Consumers,High temp,,,Fahrenheit return,consumers-fahrenheit-return,,,,,,Simulation output,Flow,yes,l/min,consumers_fahrenheit_return__flow__l_min,thrs/consumers-fahrenheit-return,flow
Consumers,Fahrenheit,50001074,,3 way valve T bore DN 32,consumers-switch-fahrenheit-direct-supply,R530+LR24A-MOD + EXT-OC-ZR532,Belimo,,"Brass, nickel plated. With insulation shell","24 Vdc, Modbus RTU",Output,Absolute position,no,degrees,consumers_switch_fahrenheit_direct_supply__position_abs__degrees,thrs/consumers-switch-fahrenheit-direct-supply,position-abs
,Fahrenheit,50001077,05,Non return valve DN 25,,167 561 004,GF,,,,,,#N/A,,__,,
,Fahrenheit,50001078,03,Non return valve DN 32,,167 561 005,GF,,,,,,#N/A,,__,,
,Fahrenheit,50001095,07,Pressure gauge,,9030522,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001095,08,Pressure gauge,,9030522,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001096,01,Pressure gauge,,9273638,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001096,02,Pressure gauge,,9273638,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001096,03,Pressure gauge,,9273638,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001096,04,Pressure gauge,,9273638,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001096,07,Pressure gauge,,9273638,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001096,08,Pressure gauge,,9273638,,,,,,,#VALUE!,,__,,
,Fahrenheit,50001102,12,Ball valve PP-RCT d32,,7911 0800 11,B'R Econtec,,,,,,#N/A,,__,,
,Fahrenheit,50001102,13,Ball valve PP-RCT d32,,7911 0800 11,B'R Econtec,,,,,,#N/A,,__,,
,Fahrenheit,50001102,14,Ball valve PP-RCT d32,,7911 0800 11,B'R Econtec,,,,,,#N/A,,__,,
,Fahrenheit,50001103,01,Ball valve PP-RCT d40,,7911 0900 11,B'R Econtec,,,,,,#N/A,,__,,
,Fahrenheit,50001103,02,Ball valve PP-RCT d40,,7911 0900 11,B'R Econtec,,,,,,#N/A,,__,,
,Fahrenheit,50001103,08,Ball valve PP-RCT d40,,7911 0900 11,B'R Econtec,,,,,,#N/A,,__,,
,Fahrenheit,50001103,10,Ball valve PP-RCT d40,,7911 0900 11,B'R Econtec,,,,,,#N/A,,__,,
,Fahrenheit,50001104,01,Ball valve PP-RCT d50,,7911 1000 11,B'R Econtec,,PP-RCT50,,,,#N/A,,__,,
,Fahrenheit,50001104,02,Ball valve PP-RCT d50,,7911 1000 11,B'R Econtec,,PP-RCT50,,,,#N/A,,__,,
Consumers,High temp,,,Fahrenheit supply,consumers-fahrenheit-supply,,,,,,Simulation input,Temperature,yes,°C,consumers_fahrenheit_supply__temperature__C,thrs/consumers-fahrenheit-supply,temperature
Consumers,High temp,,,Fahrenheit supply,consumers-fahrenheit-supply,,,,,,Simulation input,Flow,yes,l/min,consumers_fahrenheit_supply__flow__l_min,thrs/consumers-fahrenheit-supply,flow
Consumers,High temp,50001058,07,Flowsensor,consumers-flow-boosting,SM7120,IFM,Via IO-Link,,,Output,Flow,yes,l/min,consumers_flow_boosting__flow__l_min,thrs/consumers-flow-boosting,flow
Consumers,High temp,50001058,07,Flowsensor,consumers-flow-boosting,SM7120,IFM,Via IO-Link,,,Output,Temperature,yes,°C,consumers_flow_boosting__temperature__C,thrs/consumers-flow-boosting,temperature
Consumers,High temp,50001060,01,Flowsensor,consumers-flow-bypass,SM9500,IFM,Via IO-Link,"0,5-300 l/min, I/O link, 4-20mA,",18-30 vdc,Output,Flow,yes,l/min,consumers_flow_bypass__flow__l_min,thrs/consumers-flow-bypass,flow
Consumers,High temp,50001060,01,Flowsensor,consumers-flow-bypass,SM9500,IFM,Via IO-Link,"0,5-300 l/min, I/O link, 4-20mA,",18-30 vdc,Output,Temperature,yes,°C,consumers_flow_bypass__temperature__C,thrs/consumers-flow-bypass,temperature
Consumers,High temp,50001058,08,Flowsensor,consumers-flow-fahrenheit,SM7120,IFM,Via IO-Link,,,Output,Flow,yes,l/min,consumers_flow_fahrenheit__flow__l_min,thrs/consumers-flow-fahrenheit,flow
Consumers,High temp,50001058,08,Flowsensor,consumers-flow-fahrenheit,SM7120,IFM,Via IO-Link,,,Output,Temperature,yes,°C,consumers_flow_fahrenheit__temperature__C,thrs/consumers-flow-fahrenheit,temperature
Consumers,High temp,50001065,01,Flow control valve DN 25,consumers-flowcontrol-boosting,R422+LR24A-MOD + EXT-OC-ZR425,Belimo,,,,Input,Setpoint,yes,ratio,consumers_flowcontrol_boosting__setpoint__ratio,thrs/consumers-flowcontrol-boosting,setpoint
