module,folder,key,title,componentType,typeLabel,slotId,slotLabel,kind,valueKind,allowedFieldTypes,required,value,srcTitle,srcYardTag,notes
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit,Exchange circuit,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhw:drivesTemperatureRecoveryReturn,,,
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit,Exchange circuit,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhw:drivesFlowRecovery,,,
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit,Exchange circuit,sensors.deltaT,sensors › deltaT,sensors,,sensor:deltaT,true,drivesDelta,,,
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit,Exchange circuit,sensors.heatExchanger,sensors › heatExchanger,sensors,,sensor:heatExchanger,true,dhwDrivesExchanger,,,
dhw,exchange-circuits,drives,Drives & shore,ExchangeCircuit,Exchange circuit,custom.circuitName,Custom › circuitName,custom,customSource,,true,Drives & shore,,,
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit,Exchange circuit,source,Source,source,,,true,high-temperature,High temperature,,
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit,Exchange circuit,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhw:consumersTemperatureDhwSupply,,,
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit,Exchange circuit,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhw:consumersTemperatureDhwReturn,,,
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit,Exchange circuit,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhw:consumersFlowDhw,,,
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit,Exchange circuit,sensors.deltaT,sensors › deltaT,sensors,,sensor:deltaT,true,consumersDelta,,,
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit,Exchange circuit,sensors.heatExchanger,sensors › heatExchanger,sensors,,sensor:heatExchanger,true,dhwHeatpump,,,
dhw,exchange-circuits,highTempLoop,High temperature,ExchangeCircuit,Exchange circuit,custom.circuitName,Custom › circuitName,custom,customSource,,true,High temperature,,,
dhw,flow-control-valves,1064-03,Flowcontrol Dc,FlowControlValve,Flow control valve,source,Source,source,,sensor:valve,true,dhwFlowcontrolDc,,,
dhw,flow-control-valves,1064-03,Flowcontrol Dc,FlowControlValve,Flow control valve,controls.valve,controls › valve,controls,,control:valve,true,dhwFlowcontrolDc,,,
dhw,flow-control-valves,1064-03,Flowcontrol Dc,FlowControlValve,Flow control valve,sensors.measurement,sensors › measurement,sensors,,sensor:flow,false,,,,
dhw,flow-control-valves,1064-03,Flowcontrol Dc,FlowControlValve,Flow control valve,parameters.flow,parameters › flow,parameters,,parameter:tuning;parameter:flow,false,,,,
