module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
dhw,sensorValues,dhwTemperatureDcReturn,sensor:temperature,,50001038-26,dhw-temperature-dc-return,TemperatureDcReturn
dhw,sensorValues,dhwTemperatureTank3,sensor:temperature,,50001038-27,dhw-temperature-tank3,TemperatureTank3
dhw,sensorValues,dhwTemperatureTank2,sensor:temperature,,50001038-44,dhw-temperature-tank2,TemperatureTank2
dhw,sensorValues,dhwTemperatureTank1,sensor:temperature,,50001038-45,dhw-temperature-tank1,TemperatureTank1
dhw,sensorValues,dhwTemperatureDrivesReturn,sensor:temperature,,50001038-46,dhw-temperature-drives-return,TemperatureDrivesReturn
dhw,sensorValues,dhwTemperatureFreshwaterSupply,sensor:temperature,,50001038-47,dhw-temperature-freshwater-supply,TemperatureFreshwaterSupply
dhw,sensorValues,dhwTemperatureAdsorptionReturn,sensor:temperature,,50001038-51,dhw-temperature-adsorption-return,TemperatureAdsorptionReturn
dhw,sensorValues,dhwTemperatureBoostingReturn,sensor:temperature,,50001038-65,dhw-temperature-boosting-return,TemperatureBoostingReturn
dhw,sensorValues,dhwTemperatureBoostingSupply,sensor:temperature,,50001038-66,dhw-temperature-boosting-supply,TemperatureBoostingSupply
dhw,sensorValues,dhwLevelTank1,sensor:level,,50001056-01,dhw-level-tank1,LevelTank1
dhw,sensorValues,dhwLevelTank2,sensor:level,,50001056-02,dhw-level-tank2,LevelTank2
dhw,sensorValues,dhwLevelTank3,sensor:level,,50001056-03,dhw-level-tank3,LevelTank3
dhw,sensorValues,dhwFlowDc,sensor:flow,,50001057-17,dhw-flow-dc,FlowDc
dhw,sensorValues,dhwFlowDrives,sensor:flow,,50001057-24,dhw-flow-drives,FlowDrives
dhw,sensorValues,dhwFlowBoosting,sensor:flow,,50001058-11,dhw-flow-boosting,FlowBoosting
dhw,sensorValues,dhwFlowcontrolDc,sensor:valve,flowcontrol,50001064-03,dhw-flowcontrol-dc,FlowcontrolDc
